line_no,case,order_tag,modules,kept_metric_count,over10_count,over20_count,worst_metric,worst_rel_pct,worst_combo_mpki,worst_combo_count,worst_sum_count
299,combo_043_s4,canonical,itlb_f64_l1_r100+mix_b128_ld2_pstr_p512_np1_sp17_r100+mix_b64_ld1_lstr_p128_np4_sl5_r100+mix_b128_ld7_pstr_p128_np4_sp17_r100,20,4,3,l2d_tlb_refill:u,2862.71,0.251078,15969,539
300,combo_043_s4,shuffle_itlb_f64_lin_p128_np4_l1_r100_mixslot6_mix_s8192_l7_pstr17_p128_np4_sp17_r100_mixslot1_mix_s8192_l2_pstr17_p512_np1_sp17_r100_mixslot5_mix_s4096_l1_lstr5_p128_np4_sl5_r100,itlb_f64_l1_r100+mix_b128_ld7_pstr_p128_np4_sp17_r100+mix_b128_ld2_pstr_p512_np1_sp17_r100+mix_b64_ld1_lstr_p128_np4_sl5_r100,20,3,3,l2d_tlb_refill:u,1198.70,0.110060,7000,539
307,combo_044_s4,canonical,cold_b64_d4_bitrev+mix_b128_ld14_rand_p128_np4_r100+mix_b64_ld14_rand_p512_np4_r100+mix_b64_ld1_lin_p128_np1_r100,17,4,3,l2i_cache:u,146.45,0.137600,7571,3072
308,combo_044_s4,shuffle_mixslot5_mix_s4096_l1_lin_p128_np1_r100_mixslot2_mix_s8192_l14_rand_p128_np4_r100_main_b64_lin_p1_np4_l1_r100_mixslot4_mix_s4096_l14_rand_p512_np4_r100,mix_b64_ld1_lin_p128_np1_r100+mix_b128_ld14_rand_p128_np4_r100+cold_b64_d4_bitrev+mix_b64_ld14_rand_p512_np4_r100,17,5,3,ll_cache_miss:u,561.86,2.910918,160164,24199
315,combo_045_s4,canonical,cold_b64_d4_bitrev+mix_b64_ld7_rand_p524288_np1_r100+mix_b128_ld4_lin_p524288_np4_r100+mix_b128_ld2_lstr_p524288_np4_sl5_r100,19,3,3,l2i_cache:u,254.09,0.207992,13707,3871
316,combo_045_s4,shuffle_main_b64_lin_p128_np1_l2_r100_mixslot3_mix_s8192_l4_lin_p524288_np4_r100_mixslot2_mix_s4096_l7_rand_p524288_np1_r100_mixslot6_mix_s8192_l2_lstr5_p524288_np4_sl5_r100,cold_b64_d4_bitrev+mix_b128_ld4_lin_p524288_np4_r100+mix_b64_ld7_rand_p524288_np1_r100+mix_b128_ld2_lstr_p524288_np4_sl5_r100,19,3,3,l2i_cache_refill:u,230.48,0.180132,11871,3592
323,combo_046_s4,canonical,itlb_f64_l1_r100+mix_b128_ld1_pstr_p512_np4_sp17_r100+mix_b128_ld4_lin_p512_np1_r100+mix_b128_ld7_lin_p524288_np1_r100,21,3,1,l2i_tlb_refill:u,3851.32,0.100266,7468,189
324,combo_046_s4,shuffle_mixslot5_mix_s8192_l7_lin_p524288_np1_r100_mixslot3_mix_s8192_l1_pstr17_p512_np4_sp17_r100_mixslot4_mix_s8192_l4_lin_p512_np1_r100_itlb_f64_lin_p128_np1_l2_r100,mix_b128_ld7_lin_p524288_np1_r100+mix_b128_ld1_pstr_p512_np4_sp17_r100+mix_b128_ld4_lin_p512_np1_r100+itlb_f64_l1_r100,21,2,1,l2i_tlb_refill:u,3981.48,0.103569,7714,189
331,combo_047_s4,canonical,cold_b64_d4_bitrev+hot_b64_bp3_r100+mix_b64_ld4_rand_p128_np4_r100+mix_b128_ld14_rand_p128_np4_r100,15,3,1,ll_cache_miss:u,211.38,0.496681,27974,8984
332,combo_047_s4,shuffle_mixslot6_mix_s8192_l14_rand_p128_np4_r100_hot_s4096_lin_p128_np4_l1_r100_main_b64_rand_p1_np1_l2_r100_mixslot1_mix_s4096_l4_rand_p128_np4_r100,mix_b128_ld14_rand_p128_np4_r100+hot_b64_bp3_r100+cold_b64_d4_bitrev+mix_b64_ld4_rand_p128_np4_r100,17,4,2,l2i_cache:u,116.68,0.107223,6039,2787
339,combo_048_s4,canonical,hot_b64_bp3_r100+mix_b128_ld7_lin_p128_np4_r100+mix_b64_ld7_lin_p524288_np1_r100+mix_b64_ld14_pstr_p524288_np4_sp17_r100,18,3,3,l2i_cache_refill:u,208.37,0.231258,12338,4001
340,combo_048_s4,shuffle_mixslot4_mix_s4096_l7_lin_p524288_np1_r100_mixslot2_mix_s8192_l7_lin_p128_np4_r100_mixslot5_mix_s4096_l14_pstr17_p524288_np4_sp17_r100_hot_s4096_rand_p128_np1_l1_r100,mix_b64_ld7_lin_p524288_np1_r100+mix_b128_ld7_lin_p128_np4_r100+mix_b64_ld14_pstr_p524288_np4_sp17_r100+hot_b64_bp3_r100,18,3,3,l2i_cache_refill:u,206.37,0.229759,12258,4001
347,combo_049_s4,canonical,fetch_b64_d1_bp0_s16_r100+mix_b64_ld2_rand_p524288_np4_r100+mix_b128_ld4_lstr_p128_np4_sl5_r100+mix_b128_ld1_rand_p128_np1_r100,16,4,3,ll_cache:u,35.30,158.129921,11255977,8319295
348,combo_049_s4,shuffle_fetch_b64_rand_p128_np1_l2_r100_mixslot3_mix_s8192_l4_lstr5_p128_np4_sl5_r100_mixslot1_mix_s4096_l2_rand_p524288_np4_r100_mixslot5_mix_s8192_l1_rand_p128_np1_r100,fetch_b64_d1_bp0_s16_r100+mix_b128_ld4_lstr_p128_np4_sl5_r100+mix_b64_ld2_rand_p524288_np4_r100+mix_b128_ld1_rand_p128_np1_r100,18,5,4,l2i_cache:u,154.59,0.104830,7462,2931
355,combo_050_s4,canonical,fetch_b128_d1_bp0_s16_r100+mix_b64_ld7_lin_p512_np1_r100+mix_b64_ld2_rand_p512_np1_r100+mix_b128_ld7_rand_p524288_np1_r100,19,3,3,l2i_cache_refill:u,319.23,0.215184,16832,4015
356,combo_050_s4,shuffle_fetch_b128_rand_p128_np4_l1_r100_mixslot6_mix_s8192_l7_rand_p524288_np1_r100_mixslot4_mix_s4096_l2_rand_p512_np1_r100_mixslot0_mix_s4096_l7_lin_p512_np1_r100,fetch_b128_d1_bp0_s16_r100+mix_b128_ld7_rand_p524288_np1_r100+mix_b64_ld2_rand_p512_np1_r100+mix_b64_ld7_lin_p512_np1_r100,19,3,3,l2i_cache_refill:u,317.68,0.214391,16770,4015
364,combo_051_s5,canonical,cold_b64_d4_bitrev+fetch_b128_d1_bp0_s16_r100+mix_b128_ld7_rand_p524288_np4_r100+mix_b64_ld7_rand_p128_np4_r100+mix_b64_ld4_pstr_p512_np1_sp17_r100,19,3,3,l2i_cache_refill:u,299.23,0.204866,18676,4678
365,combo_051_s5,shuffle_mixslot4_mix_s4096_l4_pstr17_p512_np1_sp17_r100_main_b64_rand_p128_np1_l1_r100_mixslot3_mix_s4096_l7_rand_p128_np4_r100_mixslot0_mix_s8192_l7_rand_p524288_np4_r100_fetch_b128_rand_p1_np1_l1_r100,mix_b64_ld4_pstr_p512_np1_sp17_r100+cold_b64_d4_bitrev+mix_b64_ld7_rand_p128_np4_r100+mix_b128_ld7_rand_p524288_np4_r100+fetch_b128_d1_bp0_s16_r100,19,3,3,l2i_cache_refill:u,313.02,0.211942,19321,4678
373,combo_052_s5,canonical,mix_b128_ld4_lin_p524288_np1_r100+mix_b64_ld2_pstr_p512_np1_sp17_r100+mix_b64_ld14_rand_p128_np4_r100+mix_b64_ld14_pstr_p512_np4_sp17_r100+mix_b128_ld14_lin_p512_np1_r100,18,3,3,l2i_cache_refill:u,287.83,0.188056,13830,3566
374,combo_052_s5,shuffle_mixslot3_mix_s4096_l14_rand_p128_np4_r100_mixslot1_mix_s8192_l4_lin_p524288_np1_r100_mixslot2_mix_s4096_l2_pstr17_p512_np1_sp17_r100_mixslot4_mix_s4096_l14_pstr17_p512_np4_sp17_r100_mixslot5_mix_s8192_l14_lin_p512_np1_r100,mix_b64_ld14_rand_p128_np4_r100+mix_b128_ld4_lin_p524288_np1_r100+mix_b64_ld2_pstr_p512_np1_sp17_r100+mix_b64_ld14_pstr_p512_np4_sp17_r100+mix_b128_ld14_lin_p512_np1_r100,18,3,3,l2i_cache_refill:u,269.71,0.179272,13184,3566
382,combo_053_s5,canonical,fetch_b64_d1_bp0_s16_r100+hot_b128_bp3_r100+mix_b128_ld4_rand_p512_np1_r100+mix_b128_ld2_rand_p524288_np1_r100+mix_b64_ld7_lstr_p128_np4_sl5_r100,19,3,3,l2i_cache_refill:u,393.45,0.193350,17922,3632
383,combo_053_s5,shuffle_mixslot0_mix_s8192_l4_rand_p512_np1_r100_mixslot2_mix_s8192_l2_rand_p524288_np1_r100_fetch_b64_rand_p1_np1_l1_r100_hot_s8192_lin_p1_np1_l1_r100_mixslot5_mix_s4096_l7_lstr5_p128_np4_sl5_r100,mix_b128_ld4_rand_p512_np1_r100+mix_b128_ld2_rand_p524288_np1_r100+fetch_b64_d1_bp0_s16_r100+hot_b128_bp3_r100+mix_b64_ld7_lstr_p128_np4_sl5_r100,19,5,3,l2i_cache_refill:u,367.40,0.183144,16976,3632
391,combo_054_s5,canonical,fetch_b64_d1_bp0_s16_r100+mix_b64_ld2_pstr_p512_np4_sp17_r100+mix_b64_ld14_lin_p524288_np4_r100+mix_b128_ld7_lin_p524288_np4_r100+mix_b128_ld1_lin_p128_np1_r100,19,3,3,l2i_cache:u,271.22,0.167608,13709,3693
392,combo_054_s5,shuffle_fetch_b64_rand_p1_np4_l2_r100_mixslot5_mix_s8192_l7_lin_p524288_np4_r100_mixslot6_mix_s8192_l1_lin_p128_np1_r100_mixslot0_mix_s4096_l2_pstr17_p512_np4_sp17_r100_mixslot4_mix_s4096_l14_lin_p524288_np4_r100,fetch_b64_d1_bp0_s16_r100+mix_b128_ld7_lin_p524288_np4_r100+mix_b128_ld1_lin_p128_np1_r100+mix_b64_ld2_pstr_p512_np4_sp17_r100+mix_b64_ld14_lin_p524288_np4_r100,19,3,3,l2i_cache:u,283.02,0.172938,14145,3693
400,combo_055_s5,canonical,fetch_b128_d1_bp0_s16_r100+hot_b128_bp3_r100+mix_b128_ld7_lin_p512_np4_r100+mix_b128_ld1_lstr_p128_np4_sl5_r100+mix_b128_ld2_rand_p128_np1_r100,17,4,3,l2i_cache:u,341.61,0.145616,17598,3985
401,combo_055_s5,shuffle_mixslot4_mix_s8192_l1_lstr5_p128_np4_sl5_r100_mixslot6_mix_s8192_l2_rand_p128_np1_r100_fetch_b128_rand_p1_np1_l1_r100_mixslot0_mix_s8192_l7_lin_p512_np4_r100_hot_s8192_lin_p128_np4_l1_r100,mix_b128_ld1_lstr_p128_np4_sl5_r100+mix_b128_ld2_rand_p128_np1_r100+fetch_b128_d1_bp0_s16_r100+mix_b128_ld7_lin_p512_np4_r100+hot_b128_bp3_r100,17,3,3,l2i_cache:u,296.01,0.130581,15781,3985
409,combo_056_s5,canonical,cold_b128_d4_bitrev+fetch_b128_d1_bp0_s16_r100+mix_b128_ld14_lstr_p512_np4_sl5_r100+mix_b64_ld1_lstr_p512_np4_sl5_r100+mix_b64_ld2_lin_p524288_np4_r100,18,4,4,l1i_cache_refill:u,518.81,0.252927,26578,4295
410,combo_056_s5,shuffle_fetch_b128_rand_p128_np1_l2_r100_mixslot1_mix_s4096_l1_lstr5_p512_np4_sl5_r100_mixslot2_mix_s4096_l2_lin_p524288_np4_r100_main_b128_rand_p1_np1_l1_r100_mixslot0_mix_s8192_l14_lstr5_p512_np4_sl5_r100,fetch_b128_d1_bp0_s16_r100+mix_b64_ld1_lstr_p512_np4_sl5_r100+mix_b64_ld2_lin_p524288_np4_r100+cold_b128_d4_bitrev+mix_b128_ld14_lstr_p512_np4_sl5_r100,18,5,4,l1i_cache_refill:u,530.94,0.257885,27099,4295
418,combo_057_s5,canonical,cold_b64_d4_bitrev+fetch_b64_d1_bp0_s16_r100+hot_b64_bp3_r100+itlb_f64_l1_r100+mix_b128_ld4_lin_p512_np1_r100,20,5,5,ll_cache_miss:u,923.93,0.424273,32182,3143
419,combo_057_s5,shuffle_fetch_b64_lin_p1_np1_l2_r100_hot_s4096_lin_p1_np4_l2_r100_itlb_f64_lin_p1_np4_l1_r100_main_b64_lin_p128_np1_l1_r100_mixslot5_mix_s8192_l4_lin_p512_np1_r100,fetch_b64_d1_bp0_s16_r100+hot_b64_bp3_r100+itlb_f64_l1_r100+cold_b64_d4_bitrev+mix_b128_ld4_lin_p512_np1_r100,20,4,4,ll_cache_miss:u,913.24,0.419843,31846,3143
427,combo_058_s5,canonical,cold_b64_d4_bitrev+mix_b128_ld4_pstr_p128_np4_sp17_r100+mix_b64_ld14_lin_p512_np4_r100+mix_b64_ld7_lin_p128_np1_r100+mix_b64_ld7_pstr_p524288_np1_sp17_r100,19,3,3,l2i_cache_refill:u,201.90,0.165409,10962,3631
428,combo_058_s5,shuffle_main_b64_rand_p1_np1_l2_r100_mixslot5_mix_s4096_l7_pstr17_p524288_np1_sp17_r100_mixslot2_mix_s4096_l14_lin_p512_np4_r100_mixslot4_mix_s4096_l7_lin_p128_np1_r100_mixslot1_mix_s8192_l4_pstr17_p128_np4_sp17_r100,cold_b64_d4_bitrev+mix_b64_ld7_pstr_p524288_np1_sp17_r100+mix_b64_ld14_lin_p512_np4_r100+mix_b64_ld7_lin_p128_np1_r100+mix_b128_ld4_pstr_p128_np4_sp17_r100,19,4,3,l2i_cache_refill:u,193.69,0.160912,10664,3631
436,combo_059_s5,canonical,mix_b64_ld14_rand_p512_np1_r100+mix_b128_ld14_rand_p512_np4_r100+mix_b128_ld14_lin_p524288_np4_r100+mix_b64_ld14_lin_p512_np1_r100+mix_b128_ld7_pstr_p524288_np4_sp17_r100,18,3,3,l2i_cache_refill:u,466.41,0.379533,31798,5614
437,combo_059_s5,shuffle_mixslot1_mix_s8192_l14_rand_p512_np4_r100_mixslot3_mix_s8192_l14_lin_p524288_np4_r100_mixslot5_mix_s4096_l14_lin_p512_np1_r100_mixslot6_mix_s8192_l7_pstr17_p524288_np4_sp17_r100_mixslot0_mix_s4096_l14_rand_p512_np1_r100,mix_b128_ld14_rand_p512_np4_r100+mix_b128_ld14_lin_p524288_np4_r100+mix_b64_ld14_lin_p512_np1_r100+mix_b128_ld7_pstr_p524288_np4_sp17_r100+mix_b64_ld14_rand_p512_np1_r100,18,3,3,l2i_cache_refill:u,447.88,0.367120,30758,5614
445,combo_060_s5,canonical,cold_b128_d4_bitrev+hot_b128_bp3_r100+mix_b64_ld14_rand_p512_np4_r100+mix_b64_ld4_rand_p128_np4_r100+mix_b128_ld1_pstr_p128_np1_sp17_r100,17,4,4,ll_cache_miss:u,475.76,1.430226,132113,22946
446,combo_060_s5,shuffle_mixslot4_mix_s4096_l4_rand_p128_np4_r100_mixslot2_mix_s4096_l14_rand_p512_np4_r100_mixslot5_mix_s8192_l1_pstr17_p128_np1_sp17_r100_main_b128_rand_p1_np4_l2_r100_hot_s8192_rand_p1_np4_l2_r100,mix_b64_ld4_rand_p128_np4_r100+mix_b64_ld14_rand_p512_np4_r100+mix_b128_ld1_pstr_p128_np1_sp17_r100+cold_b128_d4_bitrev+hot_b128_bp3_r100,17,4,4,l2i_cache:u,312.86,0.164790,15222,3687
454,combo_061_s5,canonical,cold_b64_d4_bitrev+fetch_b128_d1_bp0_s16_r100+itlb_f128_l1_r100+mix_b128_ld14_lin_p512_np4_r100+mix_b128_ld4_lin_p524288_np4_r100,22,5,2,l2i_tlb_refill:u,3945.30,0.122245,14199,351
455,combo_061_s5,shuffle_fetch_b128_rand_p1_np1_l2_r100_itlb_f128_lin_p1_np1_l2_r100_mixslot1_mix_s8192_l14_lin_p512_np4_r100_main_b64_rand_p1_np4_l2_r100_mixslot6_mix_s8192_l4_lin_p524288_np4_r100,fetch_b128_d1_bp0_s16_r100+itlb_f128_l1_r100+mix_b128_ld14_lin_p512_np4_r100+cold_b64_d4_bitrev+mix_b128_ld4_lin_p524288_np4_r100,22,5,2,l2i_tlb_refill:u,3970.94,0.123020,14289,351
463,combo_062_s5,canonical,fetch_b64_d1_bp0_s16_r100+mix_b64_ld1_lin_p128_np1_r100+mix_b128_ld2_pstr_p512_np1_sp17_r100+mix_b128_ld4_rand_p128_np4_r100+mix_b64_ld7_lin_p524288_np1_r100,19,3,3,l2i_cache:u,229.50,0.159084,12910,3918
464,combo_062_s5,shuffle_mixslot0_mix_s4096_l1_lin_p128_np1_r100_fetch_b64_lin_p128_np1_l1_r100_mixslot3_mix_s8192_l4_rand_p128_np4_r100_mixslot1_mix_s8192_l2_pstr17_p512_np1_sp17_r100_mixslot5_mix_s4096_l7_lin_p524288_np1_r100,mix_b64_ld1_lin_p128_np1_r100+fetch_b64_d1_bp0_s16_r100+mix_b128_ld4_rand_p128_np4_r100+mix_b128_ld2_pstr_p512_np1_sp17_r100+mix_b64_ld7_lin_p524288_np1_r100,19,3,3,l2i_cache:u,214.73,0.151949,12331,3918
472,combo_063_s5,canonical,cold_b64_d4_bitrev+mix_b128_ld2_lstr_p524288_np4_sl5_r100+mix_b128_ld1_rand_p512_np1_r100+mix_b64_ld14_rand_p128_np4_r100+mix_b64_ld2_lstr_p512_np4_sl5_r100,19,6,6,l2i_cache:u,236.86,0.172264,13070,3880
473,combo_063_s5,shuffle_main_b64_rand_p128_np4_l1_r100_mixslot3_mix_s4096_l14_rand_p128_np4_r100_mixslot0_mix_s8192_l2_lstr5_p524288_np4_sl5_r100_mixslot5_mix_s4096_l2_lstr5_p512_np4_sl5_r100_mixslot1_mix_s8192_l1_rand_p512_np1_r100,cold_b64_d4_bitrev+mix_b64_ld14_rand_p128_np4_r100+mix_b128_ld2_lstr_p524288_np4_sl5_r100+mix_b64_ld2_lstr_p512_np4_sl5_r100+mix_b128_ld1_rand_p512_np1_r100,19,4,3,l2i_cache:u,243.89,0.175862,13343,3880
481,combo_064_s5,canonical,cold_b128_d4_bitrev+itlb_f128_l1_r100+mix_b64_ld7_pstr_p128_np1_sp17_r100+mix_b128_ld1_lstr_p512_np4_sl5_r100+mix_b64_ld4_lin_p524288_np4_r100,22,4,2,l2i_tlb_refill:u,5318.08,0.161171,14683,271
482,combo_064_s5,shuffle_mixslot1_mix_s8192_l1_lstr5_p512_np4_sl5_r100_mixslot5_mix_s4096_l4_lin_p524288_np4_r100_itlb_f128_rand_p128_np1_l2_r100_main_b128_lin_p1_np1_l1_r100_mixslot0_mix_s4096_l7_pstr17_p128_np1_sp17_r100,mix_b128_ld1_lstr_p512_np4_sl5_r100+mix_b64_ld4_lin_p524288_np4_r100+itlb_f128_l1_r100+cold_b128_d4_bitrev+mix_b64_ld7_pstr_p128_np1_sp17_r100,22,3,2,l2i_tlb_refill:u,5383.39,0.163114,14860,271
490,combo_065_s5,canonical,cold_b64_d4_bitrev+itlb_f64_l1_r100+mix_b128_ld4_pstr_p524288_np1_sp17_r100+mix_b128_ld14_rand_p512_np1_r100+mix_b128_ld1_rand_p512_np4_r100,21,1,1,l2i_cache_refill:u,257.19,1.916877,167577,46916
491,combo_065_s5,shuffle_itlb_f64_rand_p128_np4_l2_r100_mixslot1_mix_s8192_l4_pstr17_p524288_np1_sp17_r100_mixslot3_mix_s8192_l14_rand_p512_np1_r100_mixslot4_mix_s8192_l1_rand_p512_np4_r100_main_b64_lin_p1_np4_l1_r100,itlb_f64_l1_r100+mix_b128_ld4_pstr_p524288_np1_sp17_r100+mix_b128_ld14_rand_p512_np1_r100+mix_b128_ld1_rand_p512_np4_r100+cold_b64_d4_bitrev,21,3,0,l2i_cache:u,12.13,12.693958,1109730,989654
499,combo_066_s5,canonical,hot_b128_bp3_r100+mix_b64_ld7_pstr_p524288_np1_sp17_r100+mix_b128_ld4_lin_p128_np1_r100+mix_b64_ld2_rand_p524288_np4_r100+mix_b128_ld1_rand_p128_np1_r100,18,5,3,l2i_cache_refill:u,457.46,0.246254,21267,3815
500,combo_066_s5,shuffle_mixslot2_mix_s4096_l7_pstr17_p524288_np1_sp17_r100_mixslot4_mix_s4096_l2_rand_p524288_np4_r100_hot_s8192_lin_p1_np1_l2_r100_mixslot6_mix_s8192_l1_rand_p128_np1_r100_mixslot3_mix_s8192_l4_lin_p128_np1_r100,mix_b64_ld7_pstr_p524288_np1_sp17_r100+mix_b64_ld2_rand_p524288_np4_r100+hot_b128_bp3_r100+mix_b128_ld1_rand_p128_np1_r100+mix_b128_ld4_lin_p128_np1_r100,18,3,3,l2i_cache_refill:u,474.00,0.253561,21898,3815
508,combo_067_s5,canonical,mix_b128_ld2_rand_p128_np1_r100+mix_b128_ld2_lstr_p524288_np4_sl5_r100+mix_b128_ld1_lin_p128_np4_r100+mix_b128_ld1_lstr_p128_np4_sl5_r100+mix_b64_ld1_lstr_p524288_np4_sl5_r100,18,3,3,l2i_cache:u,435.41,0.221288,20806,3886
509,combo_067_s5,shuffle_mixslot4_mix_s8192_l1_lstr5_p128_np4_sl5_r100_mixslot0_mix_s8192_l2_rand_p128_np1_r100_mixslot3_mix_s8192_l1_lin_p128_np4_r100_mixslot5_mix_s4096_l1_lstr5_p524288_np4_sl5_r100_mixslot2_mix_s8192_l2_lstr5_p524288_np4_sl5_r100,mix_b128_ld1_lstr_p128_np4_sl5_r100+mix_b128_ld2_rand_p128_np1_r100+mix_b128_ld1_lin_p128_np4_r100+mix_b64_ld1_lstr_p524288_np4_sl5_r100+mix_b128_ld2_lstr_p524288_np4_sl5_r100,18,4,3,l2i_cache:u,429.98,0.219044,20595,3886
518,combo_068_s6,canonical,fetch_b128_d1_bp0_s16_r100+hot_b64_bp3_r100+mix_b64_ld4_lin_p128_np1_r100+mix_b128_ld4_pstr_p524288_np1_sp17_r100+mix_b64_ld7_lin_p524288_np4_r100+mix_b128_ld2_lstr_p512_np4_sl5_r100,19,3,3,l2i_cache_refill:u,556.25,0.276029,30811,4695
519,combo_068_s6,shuffle_mixslot1_mix_s4096_l4_lin_p128_np1_r100_mixslot2_mix_s8192_l4_pstr17_p524288_np1_sp17_r100_mixslot3_mix_s4096_l7_lin_p524288_np4_r100_hot_s4096_lin_p128_np1_l1_r100_mixslot4_mix_s8192_l2_lstr5_p512_np4_sl5_r100_fetch_b128_lin_p1_np1_l2_r100,mix_b64_ld4_lin_p128_np1_r100+mix_b128_ld4_pstr_p524288_np1_sp17_r100+mix_b64_ld7_lin_p524288_np4_r100+hot_b64_bp3_r100+mix_b128_ld2_lstr_p512_np4_sl5_r100+fetch_b128_d1_bp0_s16_r100,19,3,3,l2i_cache_refill:u,540.85,0.269552,30088,4695
528,combo_069_s6,canonical,cold_b64_d4_bitrev+itlb_f128_l1_r100+mix_b128_ld2_lin_p128_np4_r100+mix_b64_ld7_rand_p128_np1_r100+mix_b128_ld7_lstr_p524288_np4_sl5_r100+mix_b128_ld14_rand_p524288_np1_r100,22,1,1,l2i_tlb_refill:u,4633.22,0.131344,14389,304
529,combo_069_s6,shuffle_main_b64_rand_p128_np1_l1_r100_mixslot6_mix_s8192_l14_rand_p524288_np1_r100_mixslot1_mix_s4096_l7_rand_p128_np1_r100_mixslot0_mix_s8192_l2_lin_p128_np4_r100_mixslot2_mix_s8192_l7_lstr5_p524288_np4_sl5_r100_itlb_f128_lin_p1_np1_l2_r100,cold_b64_d4_bitrev+mix_b128_ld14_rand_p524288_np1_r100+mix_b64_ld7_rand_p128_np1_r100+mix_b128_ld2_lin_p128_np4_r100+mix_b128_ld7_lstr_p524288_np4_sl5_r100+itlb_f128_l1_r100,22,1,1,l2i_tlb_refill:u,4563.16,0.129400,14176,304
